hf_A,hf_B,hf_Z,matched_column,matched_master_label,matched_master_depth,matched_master_path,score
atheism-agnosticism,"The philosophical exploration of the rejection of belief in God (atheism) and the suspension of judgment regarding God's existence (agnosticism). It examines the definitions, logical relationships, and epistemic justifications for these positions.",https://plato.stanford.edu/entries/atheism-agnosticism/,A,Atheism and Agnosticism,3,Philosophy of Religion > Religious Topics > Atheism and Agnosticism,1.000
weakness-will,"The philosophical problem of akrasia, or acting against one's own better judgment. It investigates whether it is possible to freely and intentionally perform an action that one judges to be worse than an available alternative.",https://plato.stanford.edu/entries/weakness-will/,A,Weakness of Will,3,Philosophy of Action > Motivation and Will > Weakness of Will,1.000
alienation,"A condition of problematic separation between a self and an 'other' that properly belong together. In Marxist and social philosophy, it describes the estrangement of workers from the products of their labor, their own activity, and their species-being.",https://plato.stanford.edu/entries/alienation/,A,Alienation,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Alienation,1.000
altruism,"Behavior motivated by a concern for the welfare of others for their own sake, contrasting with egoism. Philosophical discussions focus on whether true altruism exists and its role in moral theory.",https://plato.stanford.edu/entries/altruism/,A,Altruism,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Altruism,1.000
anarchism,"A political theory skeptical of the justification of state authority and hierarchical power. It advocates for a society based on voluntary cooperation, mutual aid, and individual liberty without government.",https://plato.stanford.edu/entries/anarchism/,A,Anarchism,4,Value Theory > Social and Political Philosophy > Political Views > Anarchism,1.000
anomalous-monism,"Donald Davidson's theory of the mind-body relation. It holds that mental events are identical to physical events (monism) but are not governed by strict psychophysical laws (anomalous), preserving mental causation without reductionism.",https://plato.stanford.edu/entries/anomalous-monism/,A,Anomalous Monism,4,Philosophy of Mind > Metaphysics of Mind > Physicalism about the Mind > Anomalous Monism,1.000
anscombe,"G.E.M. Anscombe (1919â€“2001) was a British analytic philosopher and student of Wittgenstein. She made influential contributions to virtue ethics, philosophy of action (focusing on intention), and the philosophy of mind.",https://plato.stanford.edu/entries/anscombe/,A,Anscombe,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Anscombe,1.000
anselm,Anselm of Canterbury (1033â€“1109) was a medieval philosopher and theologian best known for creating the ontological argument for God's existence. His slogan 'faith seeking understanding' characterizes his rational approach to theology.,https://plato.stanford.edu/entries/anselm/,A,Anselm,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 11th/12th Century > Anselm,1.000
skepticism,"The philosophical position questioning the possibility of certain knowledge across various domains. Skeptical arguments, despite their initial implausibility, raise fundamental challenges to our epistemic practices and have shaped responses in contemporary epistemology. These include closure principles, contextualism, and the possibility of dismissing skeptical hypotheses without evidence.",https://plato.stanford.edu/entries/skepticism/,A,Skepticism,2,Epistemology > Skepticism,1.000
aquinas,"Thomas Aquinas (c. 1225â€“1274) was the greatest philosopher-theologian of the thirteenth century, epitomizing the scholastic method of medieval universities. Drawing extensively on Aristotle, he built a comprehensive synthesis of Christian theology and Aristotelian philosophy. His systematic works, especially the Summa Theologiae, remain central to Catholic thought and continue to influence philosophy today.",https://plato.stanford.edu/entries/aquinas/,A,Aquinas,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 13th/14th Century > Aquinas,1.000
arendt,"Hannah Arendt (1906â€“1975) was a major twentieth-century political philosopher known for her analyses of totalitarianism, political action, and the human condition. A German-Jewish refugee who fled to the United States, she developed influential concepts including 'the banality of evil' and distinctions between labor, work, and action. Her thought emphasizes the importance of political participation and the fragility of freedom.",https://plato.stanford.edu/entries/arendt/,A,Arendt,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Arendt,1.000
argument,"Arguments are central to philosophy and pervasive in science, law, education, and politics. An argument is typically a set of propositions where some (premises) provide support for another (conclusion). The study of argumentation is interdisciplinary, examining logical structure, rhetorical effectiveness, and the norms governing rational persuasion.",https://plato.stanford.edu/entries/argument/,A,Argument,4,Epistemology > Epistemological Sources > Reasoning > Argument,1.000
aristotle,"Aristotle (384â€“322 BCE) was one of the most influential philosophers in Western history, rivaling only his teacher Plato. His surviving works, comprising roughly thirty-one treatises, cover logic, natural philosophy, ethics, politics, metaphysics, psychology, poetics, and biology. His systematic approach and empirical investigations shaped philosophical inquiry for over two millennia.",https://plato.stanford.edu/entries/aristotle/,A,Aristotle,4,History of Western Philosophy > Ancient Greek Philosophy > Classical Greek Philosophy > Aristotle,1.000
assertion,"The speech act of claiming that something is the case, central to communication and knowledge sharing. Assertions commit speakers to the truth of their utterances and are governed by distinctive norms. Philosophers debate what distinguishes assertion from other speech acts and what constitutes the norm of assertion (truth, justification, or knowledge).",https://plato.stanford.edu/entries/assertion/,A,Assertion,3,Philosophy of Language > Pragmatics > Assertion,1.000
attention,"The selective directedness of mental activity toward certain stimuli, objects, or tasks. Theories disagree whether this selectivity results from processing capacity limitations or from constraints on the thinking subject's control. Attention plays central roles in perception, consciousness, and action, raising questions about voluntariness and cognitive architecture.",https://plato.stanford.edu/entries/attention/,A,Attention,3,Philosophy of Mind > Mental States and Processes > Attention,1.000
properties,"Entities that can be predicated of or attributed to things, including qualities, features, and characteristics. Major philosophical debates concern whether properties exist independently of particulars (realism) or only as predicates (nominalism), and how properties relate to similarity and natural kinds. Properties are central to metaphysics, language, and mind.",https://plato.stanford.edu/entries/properties/,A,Properties,2,Metaphysics > Properties,1.000
augustine,"Augustine of Hippo (354â€“430) was the most influential Christian philosopher of antiquity. His works on sin, grace, free will, and the Trinity shaped Western theology and philosophy for over a millennium. Synthesizing Neoplatonism with Christian doctrine, he developed influential theories of time, memory, language, and knowledge.",https://plato.stanford.edu/entries/augustine/,A,Augustine,4,History of Western Philosophy > Medieval and Renaissance Philosophy > Pre-1000 Medieval Philosophy > Augustine,1.000
authenticity,"The quality of being true to oneself, genuine, or faithful to one's nature. In existentialism, authenticity involves acknowledging one's freedom and taking responsibility for one's choices rather than conforming to social expectations. The concept raises questions about self-knowledge, autonomy, and the relationship between individual and society.",https://plato.stanford.edu/entries/authenticity/,A,Authenticity,5,Value Theory > Normative Ethics > Moral Psychology > Moral Character > Authenticity,1.000
informed-consent,"The ethical and legal requirement that patients and research subjects voluntarily agree to treatment or participation after receiving adequate information. It replaced paternalistic medical ethics with patient autonomy as the governing principle. Core elements include disclosure, comprehension, voluntariness, competence, and consent itself.",https://plato.stanford.edu/entries/informed-consent/,A,Informed Consent,5,Value Theory > Applied Ethics > Biomedical Ethics > Medical Ethics > Informed Consent,1.000
bodily-awareness,"Our awareness of our own body through proprioception, interoception, and external perception. Unlike perception of external objects, bodily awareness involves a continuous uncontrollable flow of sensory information about limb position, balance, and physiological states. This raises philosophical questions about self-consciousness, immunity to error through misidentification, and the sense of body ownership.",https://plato.stanford.edu/entries/bodily-awareness/,A,Bodily Awareness,4,Philosophy of Mind > Mental States and Processes > Bodily Experience > Bodily Awareness,1.000
ayer,"A.J. Ayer (1910â€“1989) was the leading English representative of logical positivism. His Language, Truth and Logic (1936) championed verificationismâ€”the view that meaningful statements must be empirically verifiable or analytically true. He continued the British empiricist tradition of Locke and Hume in twentieth-century philosophy.",https://plato.stanford.edu/entries/ayer/,A,Ayer,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Ayer,1.000
roger-bacon,"Roger Bacon (c. 1214â€“1292) was a Franciscan philosopher and early advocate of empirical methods in science. He mastered Greek and Arabic scientific texts, particularly in optics, and emphasized experimental verification alongside rational argument. His work anticipated aspects of the later scientific revolution while remaining rooted in medieval scholasticism.",https://plato.stanford.edu/entries/roger-bacon/,A,Roger Bacon,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 11th/12th Century > Roger Bacon,1.000
beauty,"One of the fundamental values and central problems in aesthetics, addressed since ancient Greek philosophy. Debates concern whether beauty is objective or subjective, whether it resides in objects or experiences, and its relationship to pleasure and taste. Historical treatments range from Plato's Form of Beauty to eighteenth-century theories of aesthetic judgment.",https://plato.stanford.edu/entries/beauty/,A,Beauty,4,Value Theory > Aesthetics > Aesthetic Qualities > Beauty,1.000
behaviorism,"The approach to psychology that studies behavior as observable responses to environmental stimuli, avoiding reference to mental states. Methodological behaviorism restricts scientific psychology to behavioral evidence, while philosophical behaviorism analyzes mental concepts in behavioral terms. The movement profoundly influenced twentieth-century psychology and philosophy of mind.",https://plato.stanford.edu/entries/behaviorism/,A,Behaviorism,3,Philosophy of Mind > Metaphysics of Mind > Behaviorism,1.000
existence,"A central metaphysical topic concerning what it is for something to exist and whether existence is a property. Questions include whether there are non-existent objects, how to analyze existence claims, and what existence adds to essence. Debates involve quantification theory, Meinongian metaphysics, and the ontological argument.",https://plato.stanford.edu/entries/existence/,A,Existence,3,Metaphysics > Ontology > Existence,1.000
time,"One of the most fundamental topics in metaphysics, raising questions about time's nature and reality. Central debates include whether time flows or is static (A-theory vs. B-theory), whether only the present exists (presentism vs. eternalism), and time's topology. Modern physics, especially relativity, has profoundly influenced contemporary philosophy of time.",https://plato.stanford.edu/entries/time/,A,Time,2,Metaphysics > Time,1.000
belief,"The propositional attitude of taking something to be the case or regarding it as true. Philosophical questions concern belief's nature (whether dispositional or occurrent), its relationship to knowledge and degrees of confidence, and whether believing is voluntary. Beliefs play central roles in epistemology, philosophy of mind, and action theory.",https://plato.stanford.edu/entries/belief/,A,Belief,3,Philosophy of Mind > Mental States and Processes > Belief,1.000
bentham,"Jeremy Bentham (1748â€“1832) was the founder of modern utilitarianism as a systematic moral and political theory. He developed the principle of utilityâ€”that actions are right insofar as they promote the greatest happiness of the greatest number. His influence extended to legal reform, political philosophy, and the development of consequentialist ethics.",https://plato.stanford.edu/entries/bentham/,A,Bentham,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Bentham,1.000
bergson,"Henri Bergson (1859â€“1941) was an influential French philosopher known for his critiques of mechanism and emphasis on duration, intuition, and creative evolution. He argued that reality is fundamentally temporal and that intellectual analysis distorts lived experience. His work influenced phenomenology, process philosophy, and French philosophy broadly, experiencing renewed interest through Deleuze.",https://plato.stanford.edu/entries/bergson/,A,Bergson,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Bergson,1.000
berkeley,"George Berkeley (1685â€“1753), Bishop of Cloyne, was an early modern philosopher famous for defending idealismâ€”the view that reality consists exclusively of minds and their ideas. He argued that material objects exist only as perceptions in minds, summarized in his principle 'esse est percipi' (to be is to be perceived). His major works include the Treatise Concerning the Principles of Human Knowledge and Three Dialogues.",https://plato.stanford.edu/entries/berkeley/,A,Berkeley,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Berkeley,1.000
implicit-bias,"Unconscious attitudes and stereotypes that affect understanding, actions, and decisions without deliberate intention. Research in implicit social cognition demonstrates that people can act on prejudices toward stigmatized groups despite consciously rejecting such biases. This raises important questions about responsibility, moral psychology, and strategies for reducing discriminatory behavior.",https://plato.stanford.edu/entries/implicit-bias/,A,Implicit Bias,5,Value Theory > Social and Political Philosophy > Culture and Cultures > Minorities > Implicit Bias,1.000
biodiversity,"The variety of life at all levels of biological organization, from genetic variation to species diversity to ecosystem diversity. The term emerged in the mid-1980s to focus conservation efforts and scientific research. Philosophical questions concern how to define and measure biodiversity, its intrinsic versus instrumental value, and its role in conservation prioritization.",https://plato.stanford.edu/entries/biodiversity/,A,Biodiversity,4,"Science, Logic, and Mathematics > Philosophy of Biology > Ecology and Conservation Biology > Biodiversity",1.000
blame,"A reactive attitude responding to something normatively negative about another's actions, attitudes, or character. Blame involves cognitive, affective, and behavioral components including resentment, judgment, and rebuke. Philosophical questions concern what makes blame appropriate, its relationship to responsibility and desert, and the ethics of blaming practices.",https://plato.stanford.edu/entries/blame/,A,Blame,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Blame,1.000
substance,"A fundamental metaphysical concept referring to the basic entities that exist independently and bear properties. Aristotle distinguished primary substances (individual things) from secondary substances (species and genera). Modern debates concern what counts as substance, whether it requires substrata, and its role in metaphysical systems.",https://plato.stanford.edu/entries/substance/,A,Substance,3,Metaphysics > Ontology > Substance,1.000
boethius,"Anicius Manlius Severinus Boethius (c. 475â€“526) was a Roman philosopher who transmitted ancient philosophy to the Latin Middle Ages. He translated Aristotle's logical works, wrote commentaries and textbooks on logic, and authored theological treatises. His Consolation of Philosophy, written in prison, became one of the most influential philosophical works of the Middle Ages.",https://plato.stanford.edu/entries/boethius/,A,Boethius,4,History of Western Philosophy > Medieval and Renaissance Philosophy > Pre-1000 Medieval Philosophy > Boethius,1.000
bradley,"F.H. Bradley (1846â€“1924) was the most influential British Idealist philosopher. His Appearance and Reality argued that ordinary experience is contradictory and that only the Absolute is fully real. He developed distinctive views on relations, truth, and the self that challenged both empiricism and common sense.",https://plato.stanford.edu/entries/bradley/,A,Bradley,4,History of Western Philosophy > 19th Century Philosophy > 19th Century British Philosophy > Bradley,1.000
brentano,"Franz Brentano (1838â€“1917) was an Austrian philosopher who reintroduced intentionality as the mark of the mental to modern philosophy. His empirical psychology, influenced by Aristotle and Scholasticism, classified mental phenomena by their mode of directedness toward objects. He profoundly influenced phenomenology, analytic philosophy, and Austrian philosophy.",https://plato.stanford.edu/entries/brentano/,A,Brentano,4,History of Western Philosophy > 19th Century Philosophy > 19th Century Austrian Philosophy > Brentano,1.000
buridan,"John Buridan (c. 1300â€“1361) was the most influential Parisian philosopher of the fourteenth century. He lectured on logic and Aristotle, producing commentaries on metaphysics, natural philosophy, and ethics. He is famous for developing nominalist logic, impetus theory in physics, and the paradox of 'Buridan's ass.'",https://plato.stanford.edu/entries/buridan/,A,Buridan,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 13th/14th Century > Buridan,1.000
carnap,"Rudolf Carnap (1891â€“1970) was a leading logical positivist and one of the most important philosophers of the twentieth century. He developed the principle of verifiability, contributed to formal semantics and inductive logic, and championed the scientific philosophy project. His work spans philosophy of science, logic, language, and the foundations of mathematics.",https://plato.stanford.edu/entries/carnap/,A,Carnap,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Carnap,1.000
mental-causation,"The problem of how mental properties can be causally efficacious given physical causal closure. If every physical event has a sufficient physical cause, how can mental properties make a causal difference? Solutions include non-reductive physicalism, epiphenomenalism, and rejecting causal closure or causal exclusion principles.",https://plato.stanford.edu/entries/mental-causation/,A,Mental Causation,3,Philosophy of Mind > Metaphysics of Mind > Mental Causation,1.000
moral-character,"The relatively stable dispositions to act, think, and feel in morally significant ways. Virtue ethics makes character central to moral evaluation, analyzing virtues and vices as character traits. Contemporary debates, sparked by Anscombe, concern whether character or actions are primary and how character develops.",https://plato.stanford.edu/entries/moral-character/,A,Moral Character,4,Value Theory > Normative Ethics > Moral Psychology > Moral Character,1.000
childhood,"The philosophical study of childhood as a distinct phase of human life with unique characteristics and value. Questions include what defines childhood, children's moral and epistemic status, and children's rights. The field examines conceptual and normative issues parallel to other philosophy of X subfields.",https://plato.stanford.edu/entries/childhood/,A,Childhood,3,Metaphysics > Persons > Childhood,1.000
chisholm,"Roderick Chisholm (1916â€“1999) was an influential American philosopher who worked across epistemology, metaphysics, ethics, and philosophy of mind. He defended foundationalism, developed theories of intentionality and agency, and constructed a systematic philosophy. His careful conceptual analysis and precise formulations shaped analytic philosophy.",https://plato.stanford.edu/entries/chisholm/,A,Chisholm,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Chisholm,1.000
citizenship,"Membership in a political community entailing rights and duties. Philosophical questions concern what grounds citizenship, whether it should be based on birth or consent, and what obligations citizens have. Contemporary debates address multicultural citizenship, cosmopolitanism, and whether citizenship should remain tied to nation-states.",https://plato.stanford.edu/entries/citizenship/,A,Citizenship,4,Value Theory > Social and Political Philosophy > States and Nations > Citizenship,1.000
civil-disobedience,"Deliberate, public violation of law to protest injustice or change policy, typically non-violent and accepting of legal consequences. Classic examples include Gandhi's campaigns and the Civil Rights Movement. Philosophical debates concern when it is justified, whether it must be public, and its role in democratic and non-democratic societies.",https://plato.stanford.edu/entries/civil-disobedience/,A,Civil Disobedience,4,Value Theory > Social and Political Philosophy > States and Nations > Civil Disobedience,1.000
cloning,"Creating genetically identical organisms, made famous by Dolly the sheep in 1997. Reproductive cloning aims to create viable organisms, while therapeutic cloning produces embryos for stem cells. Ethical debates concern human dignity, harm to clones, playing God, and whether reproductive or therapeutic cloning should be permitted.",https://plato.stanford.edu/entries/cloning/,A,Cloning,5,Value Theory > Applied Ethics > Biomedical Ethics > Reproductive Ethics > Cloning,1.000
coercion,"The use of threats to make someone act or refrain from acting against their will. Coercion involves both the coercer's technique and the coercee's compromised reasons for action. Philosophical questions concern what counts as coercion, how it affects freedom and responsibility, and when state coercion is legitimate.",https://plato.stanford.edu/entries/coercion/,A,Coercion,5,Value Theory > Social and Political Philosophy > Freedom and Liberty > Oppression > Coercion,1.000
moral-cognitivism,"The metaethical view that moral judgments express beliefs that can be true or false. Cognitivists hold that moral statements make truth-apt claims about moral facts or properties. This contrasts with non-cognitivism, which denies moral statements express beliefs or that they are truth-evaluable in any robust sense.",https://plato.stanford.edu/entries/moral-cognitivism/,A,Moral Cognitivism,5,Value Theory > Meta-Ethics > Moral Realism and Irrealism > Moral Realism > Moral Cognitivism,1.000
color,"Colors raise fundamental questions about perception, reality, and mind. Are colors objective properties of objects, subjective experiences, or relational dispositions? How do physical light properties relate to color experiences? Theories include primitivism, physicalism, dispositionalism, and subjectivism, each facing puzzles about color ontology and phenomenology.",https://plato.stanford.edu/entries/color/,A,Color,3,Philosophy of Mind > Perception > Color,1.000
common-knowledge,"A proposition is common knowledge when everyone knows it, everyone knows everyone knows it, and so on infinitely. Stronger than mutual knowledge, it requires each agent to attribute knowledge to others at all levels. Common knowledge is crucial for coordination, conventions, and game theory, raising questions about its achievability and epistemic logic.",https://plato.stanford.edu/entries/common-knowledge/,A,Common Knowledge,4,Epistemology > Formal Epistemology > Formal Social Epistemology > Common Knowledge,1.000
communitarianism,A political philosophy emphasizing that communities and social relationships constitute individual identities and should shape moral and political thinking. Communitarian critics of liberalism argue it wrongly assumes atomistic individuals. Debates concern the proper weight of community claims versus individual rights and the possibility of neutral political principles.,https://plato.stanford.edu/entries/communitarianism/,A,Communitarianism,4,Value Theory > Social and Political Philosophy > Political Views > Communitarianism,1.000
compatibilism,"The view that free will and moral responsibility are compatible with causal determinism. Compatibilists argue that freedom requires the ability to act according to one's desires and reasons, not metaphysical indeterminism. They face challenges from manipulation arguments and explaining what distinguishes free from unfree determined actions.",https://plato.stanford.edu/entries/compatibilism/,A,Compatibilism,4,Philosophy of Action > Free Will > Theories of Free Will > Compatibilism,1.000
compositionality,"The principle that the meaning of a complex expression is determined by the meanings of its parts and how they are combined. Compositionality explains how finite linguistic resources generate infinite meanings and supports systematic understanding. Challenges include context-sensitivity, idioms, and whether all natural language is compositional.",https://plato.stanford.edu/entries/compositionality/,A,Compositionality,4,Philosophy of Language > Meaning > Semantic Phenomena > Compositionality,1.000
computational-philosophy,"The use of computational techniques and tools to advance philosophical research and argumentation. Rather than philosophy of computation, it applies computer technology to extend philosophical discovery and exploration. Applications include formal modeling, automated reasoning, and computational simulations of philosophical thought experiments.",https://plato.stanford.edu/entries/computational-philosophy/,A,Computational Philosophy,3,Metaphilosophy > Philosophical Methods > Computational Philosophy,1.000
concepts,"Mental representations that are the building blocks of thought, enabling categorization, inference, and reasoning. Debates concern whether concepts are mental definitions, prototypes, exemplars, or theories. Questions include how concepts are structured, acquired, and how they relate to language and the world.",https://plato.stanford.edu/entries/concepts/,A,Concepts,3,Philosophy of Mind > Intentionality > Concepts,1.000
conditionals,"Statements of the form 'if A, then C' where A is the antecedent and C the consequent. Philosophical questions concern their truth conditions, whether they assert material implication or something stronger, and how to analyze counterfactual and subjunctive conditionals. Different logics model conditionals using possible worlds, probabilities, or other frameworks.",https://plato.stanford.edu/entries/conditionals/,A,Conditionals,3,Philosophy of Language > Specific Expressions > Conditionals,1.000
logic-conditionals,"Formal logical systems analyzing conditional statements 'if A, then B' beyond material implication. Approaches include modal logic, relevance logic, trivalent semantics, and probability-based frameworks. Challenges include the paradoxes of material implication, embedded conditionals, and capturing natural language conditional reasoning.",https://plato.stanford.edu/entries/logic-conditionals/,A,Logic of Conditionals,4,Philosophy of Language > Specific Expressions > Conditionals > Logic of Conditionals,1.000
consciousness-intentionality,"The relationship between phenomenal consciousness (subjective experience) and intentionality (aboutness or directedness). Questions include whether all conscious states are intentional, whether intentionality explains consciousness or vice versa, and whether phenomenal character determines or is independent of representational content. Competing views include representationalism and phenomenal intentionality theory.",https://plato.stanford.edu/entries/consciousness-intentionality/,A,Consciousness and Intentionality,4,Philosophy of Mind > Philosophy of Consciousness > Consciousness and Content > Consciousness and Intentionality,1.000
consequentialism,"The moral theory that the rightness of actions depends only on their consequences, specifically whether they produce the best overall outcomes. Utilitarianism is the most famous version, but consequentialism can have different accounts of value (welfare, happiness, preference-satisfaction). Critics raise concerns about demandingness, rights violations, and whether intention matters morally.",https://plato.stanford.edu/entries/consequentialism/,A,Consequentialism,3,Value Theory > Normative Ethics > Consequentialism,1.000
cosmological-argument,"Arguments inferring God's existence from features of the cosmos, particularly contingency and causation. Versions include the argument from contingency (Leibniz), the Kalam argument (temporal beginning), and the argument from motion (Aquinas). Debates concern infinite regress, necessary being, and whether the universe requires external explanation.",https://plato.stanford.edu/entries/cosmological-argument/,A,Kalam Cosmological Argument,4,Philosophy of Religion > Arguments for Theism > Cosmological Arguments for Theism > Kalam Cosmological Argument,1.000
cosmopolitanism,"The view that all humans belong to a single moral community, transcending political boundaries. Versions range from moral cosmopolitanism (universal ethical obligations) to political cosmopolitanism (global governance institutions). Debates concern feasibility, compatibility with special obligations, and whether cosmopolitanism respects cultural difference.",https://plato.stanford.edu/entries/cosmopolitanism/,A,Cosmopolitanism,4,Value Theory > Social and Political Philosophy > International Philosophy > Cosmopolitanism,1.000
heidegger,"Martin Heidegger (1889â€“1976) was a German philosopher whose Being and Time revolutionized phenomenology and existentialism. He investigated the meaning of Being through analysis of human existence (Dasein). His later work examined technology, language, and the history of Being, profoundly influencing continental philosophy.",https://plato.stanford.edu/entries/heidegger/,A,Heidegger,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Heidegger,1.000
davidson,"Donald Davidson (1917â€“2003) was an influential American philosopher who developed truth-conditional semantics, anomalous monism about mind-body relations, and a coherence theory of knowledge. His work spans philosophy of language, mind, action, and epistemology. He defended holism and emphasized interpretation's role in understanding meaning.",https://plato.stanford.edu/entries/davidson/,A,Davidson,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Davidson,1.000
self-deception,The puzzling phenomenon of deceiving oneself into believing what evidence contradicts. Paradoxes arise: how can one simultaneously know and not know the truth? Accounts range from intentionalist (self-deception is like interpersonal deception turned inward) to non-intentionalist (motivated irrationality without intention). Debates concern whether it involves belief or merely bias.,https://plato.stanford.edu/entries/self-deception/,A,Self-Deception,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Self-Deception,1.000
definitions,"Specifications of terms' or concepts' meanings, central to philosophy since Socrates sought definitions of virtue, justice, and knowledge. Types include ostensive, stipulative, and analytical definitions. Philosophical questions concern whether definitions reveal essence, the analytic/synthetic distinction, and implicit versus explicit definition.",https://plato.stanford.edu/entries/definitions/,A,Definitions,4,Philosophy of Language > Meaning > Analyticity > Definitions,1.000
deleuze,"Gilles Deleuze (1925â€“1995) was a French philosopher who conceived philosophy as concept creation. His metaphysics replaces substance with multiplicity, being with becoming, and identity with difference. Difference and Repetition and A Thousand Plateaus (with Guattari) develop innovative ontologies addressing complexity, virtuality, and becoming.",https://plato.stanford.edu/entries/deleuze/,A,Deleuze,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Deleuze,1.000
democracy,"Normative democratic theory examines democracy's moral foundations, when democracy is desirable, and principles for institutional design. It addresses representation, voting systems, citizen participation, and legitimacy. Debates concern equality, liberty, deliberation versus aggregation, and democracy's scope and limits in pluralistic societies.",https://plato.stanford.edu/entries/democracy/,A,Democracy,4,Value Theory > Social and Political Philosophy > Government and Democracy > Democracy,1.000
reference,"The relation between linguistic expressions and what they stand for or represent. Theories address how names, descriptions, and other terms refer to objects. Key debates concern direct reference versus descriptivism, empty names, and whether reference is determined by causal chains or descriptive content.",https://plato.stanford.edu/entries/reference/,A,Reference,2,Philosophy of Language > Reference,1.000
depiction,"Pictorial representation, where images represent objects or scenes. Debates concern whether depiction involves resemblance, information content, or recognitional capacities. Challenges to resemblance theories from abstract and unrealistic art led to alternative accounts based on seeing-in or symbol systems.",https://plato.stanford.edu/entries/depiction/,A,Depiction,4,Value Theory > Aesthetics > Aesthetic Representation and Meaning > Depiction,1.000
