1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
,,Wisdom,,,,"Integrated excellence in judgment concerning ends and means, combining factual knowledge, practical insight, and normative discernment across domains.","A deep and fundamental understanding of existence, life, and oneself, which combines knowledge with sound judgment and the ability to apply it practically."
,Epistemological Theories,,,,,"Systematic accounts explaining knowledge and justification—foundational, coherentist, reliabilist, evidentialist, contextualist, virtue-theoretic, and hybrid approaches.","The broad category of philosophical theories that attempt to explain the nature of knowledge, justification, and other key epistemic concepts."
,,Coherentism,,,,"Theory that justification derives from mutual support within a system of beliefs, emphasizing coherence, explanatory integration, and absence of internal conflict.","The theory that a belief is justified if it is part of a coherent system of beliefs. Justification is a function of how well a belief fits with other beliefs, rather than its grounding in a foundational base."
,,,Epistemic Regress *,,,,
,,Dogmatism,,,,"View that certain experiences—especially perceptual presentations—confer immediate prima facie justification without antecedent argument, defeasible by counterevidence.","An epistemological stance that asserts that some beliefs can be justified without being based on any evidence or reasons, particularly in the context of perception."
,,,Dogmatism about Perception,,,"Application of dogmatism to sensory experience: if it visually seems that p, one thereby has prima facie justification to believe p, absent defeaters.","The specific application of dogmatism to perceptual beliefs, holding that if it seems to you that you see something, you are immediately justified in believing it is there, absent any defeaters."
,,,Dogmatist and Moorean Replies to Skepticism,,,Anti-skeptical strategies appealing to ordinary knowledge or immediate perceptual justification to resist skeptical hypotheses and closure-based arguments.,"A response to skepticism that relies on either common-sense, dogmatic assertions (like G.E. Moore's ""Here is one hand"") or a dogmatist theory of perception to block skeptical arguments."
,,Epistemic Constructivism,,,,"What counts as knowledge or justification is partly made/constructed by cognitive or social practices (concepts, inferential norms, methods, standards of evidence) rather than simply discovered. Treats standards of justification as fixed by the rules and methods of inquiry we adopt. Weaker versions: preserve mind-independent reality. Stronger versions: extend construction claims toward truth or reality itself.",
,,Epistemic Contextualism,,,,"Semantics on which “knows” varies with conversational context (stakes, alternatives), reconciling everyday knowledge claims with stricter philosophical demands.","The view that the meaning of knowledge attributions (e.g., ""S knows that p"") depends on the context of the person making the attribution. The standards for what counts as knowledge can vary with conversational context."
,,,Contextualist Replies to Skepticism,,,"Explanations of how knowledge ascriptions can be true in low-stakes contexts yet falter under skeptical pressure, dissolving paradox without granting global ignorance.","A specific application of contextualism that aims to solve the problem of skepticism by arguing that in ordinary contexts, we can truthfully say we know many things, while in skeptical contexts, the standards for knowledge become too high to meet."
,,,Epistemic Contextualism and Invariantism,,,"Comparison between context-sensitive accounts and invariantism, which holds fixed truth-conditions for “knows” across contexts, with debates over intuitions and linguistic data.","The debate between contextualism, which holds that knowledge standards vary with context, and invariantism, which holds that the standards for knowledge are fixed and do not change."
,,,Epistemic Contextualism and Relativism,,,"Contrasts contextualism with relativism, where truth depends on parameters beyond context of utterance (e.g., assessor), assessing explanatory payoffs and costs.","The intersection between contextualism and relativism, exploring whether the context-sensitivity of knowledge claims implies that truth itself is relative to a particular framework or perspective."
,,Epistemic Contrastivism,,,,"Treats knowledge as a three-place relation—knowing p rather than q—making “contrast classes” central to explanation, skepticism, and practical reasoning.","The theory that knowledge is a three-part relation between a subject, a proposition, and a contrasting proposition. To know that 'p' is to know that 'p' rather than 'q'."
,,Epistemic Fallibilism,,,,"One can have knowledge or justified belief even though their evidence and reasoning do not guarantee truth and they could be mistaken. It rejects the idea that certainty or infallible justification is required for knowledge. Justification is sufficient when it is strong and appropriate, not when it is certainty-producing","View that absolute certainty is not a prerequisite for knowledge. It holds that an agent can possess knowledge of a proposition even if their justification does not logically guarantee its truth, meaning it is possible to know something yet still theoretically be mistaken."
,,Epistemic Infallibilism,,,,"Knowledge requires error-excluding support: if you know, your grounds must guarantee truth (or otherwise rule out the relevant possibility of being mistaken).",Knowledge requires absolute certainty - the justification must be so strong that the possibility of error is logically excluded.
,,Epistemic Internalism and Externalism,,,,"Dispute over whether justificatory factors must be cognitively accessible to the subject (internalism) or may include mind-external, truth-conducive conditions (externalism).","The debate concerning whether the justifying factors for a belief must be internal to the believer's mind (internalism) or can be external factors, such as the reliability of the belief-forming process (externalism)."
,,Epistemic Relativism,,,,"Holds that standards of truth or justification vary with frameworks or cultures. There are no absolute principles regarding normative belief, justification, or rationality, and that there are only relative ones.","Knowledge, truth, or justification are relative to the standards of a particular culture, society, or individual. There are no absolute, universal standards."
,,,Epistemic Contextualism and Relativism *,,,"Truth, correctness, or appropriateness of key epistemic claims (esp. knowledge ascriptions like “S knows that p”) depends in systematic ways on context or perspective. Contextualism typically ties this dependence to features of the attributor’s conversational context (e.g., which error-possibilities are salient), while relativism treats epistemic evaluation as relative to a standpoint, assessor, or parameter that can vary across evaluators.",
,,,Epistemic Subjectivism,,,"Epistemic status is fundamentally person-relative: what one is justified in believing (or what counts as “rational” or “correct” belief) is determined by the subject’s own perspective, standards, or attitudes rather than by standpoint-independent epistemic norms. In contrast, objectivist views: treat evidence and rationality as binding in the same way across subjects.","The position that the validity of epistemic norms or justification depends entirely on the individual agent's perspective, mental states, or community conventions. It denies the existence of objective, universal epistemic facts, implying that what counts as ""rational"" can vary fundamentally from person to person without an external standard to adjudicate."
,,,,“My belief is my truth”,,Treats epistemic status as person-relative (or attitude-dependent) rather than governed by shared evidence-sensitive norms. Used to block criticism by implying there is no standpoint-independent standard for assessing the claim beyond the speaker’s attitude,
,,Empiricism *,,,,"Epistemic Empiricism: sensory experience is the primary source of forming ideas, knowledge and justifications (vs. innate ideas, traditions). Historically contrasted with rationalist appeals to a priori insight. ",Epistemological theory that all knowledge is derived from sensory experience. Emphasizes the role of empirical evidence in the formation of ideas.
,,Evidentialism,,,,"Maintains that what one ought to believe is wholly determined by one’s evidence and its support relations, independent of practical or moral stakes.",The view that a belief is justified if and only if it is supported by the believer's evidence. The strength of the justification is proportional to the strength of the evidence.
,,Evolutionary Epistemology *,,,,,
,,Foundationalism,,,,"Structural view that justificatory chains terminate in basic beliefs warranted non-inferentially (e.g., by perception or introspection) which support all other justified beliefs.","The theory that all justified beliefs ultimately rest upon a foundation of non-inferential, basic beliefs that are justified without reference to other beliefs."
,,,Foundationalism and Coherentism,,,"Examines tensions and hybrids between foundational structure and holistic coherence, including how basing and defeat operate in each.","The philosophical debate and exploration of hybrid theories that combine elements of both foundationalism (basic, self-justifying beliefs) and coherentism (justification through mutual support)."
,,Infinitism,,,,"Proposes that justification can consist in an endless, non-repeating chain of reasons, avoiding arbitrariness without circularity or foundations.",A theory of justification that rejects foundationalism by holding that a belief can be justified by an infinite chain of reasons.
,,Pragmatic and Moral Encroachment,,,,,
,,Rationalism *,,,,"Claims that substantive knowledge about the world can be obtained independently of sense experience, typically via reason, reflection, or intellectual insight.","Reason is the primary source of knowledge and justification, often contrasted with empiricism. It asserts that some knowledge is attainable a priori."
,,Reliabilism,,,,"Ties justification or knowledge to the reliability of the processes that produce beliefs (e.g., perception, memory), allowing externalist justification.",A family of theories that define justification or knowledge in terms of the reliability of the cognitive process that produces the belief.
,,,Reliabilism about Knowledge,,,Asserts that a true belief counts as knowledge when produced by a reliable cognitive process functioning properly in appropriate conditions.,"The specific application of reliabilism to knowledge, where knowledge is defined as a true belief formed by a reliable cognitive process."
,,,Reliabilism about Justification,,,Holds that a belief is justified to the extent it is formed by a process that tends to produce true beliefs in relevantly similar circumstances.,"The specific application of reliabilism to justification, where a belief is justified if it is the result of a reliable cognitive process."
,,,The Generality Problem for Reliabilism,,,"Challenge of individuating the relevant process type for reliability assessment without triviality, since any token process belongs to many types.","A major objection to reliabilism, which states that it is difficult to specify the precise ""type"" of cognitive process that is supposed to be reliable. A process can be described broadly (e.g., ""vision"") or narrowly (e.g., ""vision in foggy conditions""), yielding different reliability assessments."
,,Virtue Epistemology,,,,"Approach locating knowledge/justification in the exercise of intellectual virtues (e.g., open-mindedness, intellectual courage), often modeling knowledge as apt or creditable success.","An approach to epistemology that emphasizes the importance of intellectual virtues (e.g., open-mindedness, intellectual courage) in the acquisition and justification of knowledge."
,Epistemology of Specific Domains,,,,,,
,,Aesthetic Knowledge *,,,,,
,,Epistemology of Mathematics *,,,,,
,,Epistemology of Logic *,,,,,
,,Epistemology of Mind *,,,,,
,,Epistemology of Philosophy *,,,,,
,,Epistemology of Religion *,,,,,
,,Epistemology of Specific Domains Misc,,,,,
,,Evidence and Proof in Law *,,,,,
,,Knowledge of Action *,,,,,
,,Knowledge of Emotion *,,,,,
,,Knowledge of Consciousness *,,,,,
,,Knowledge of Language *,,,,,
,,Modal Epistemology *,,,,,
,,Moral Epistemology *,,,,,
,,Political Epistemology *,,,,,
,,The Problem of Other Minds *,,,,,
,,Self-Knowledge *,,,,,
,Epistemology Miscellaneous,,,,,,
,,Epistemic Injustice *,,,,,
,,Epistemic Luck *,,,,,
,,Epistemic Paradoxes,,,,,
,,,Lottery Paradox,,,,
,,,Knowability *,,,,
,,,Paradox of the Knower,,,,
,,Epistemologies of Ignorance *,,,,,
,,Evolutionary Epistemology,,,,"Knowledge growth is an evolutionary process: variation in conjectures or representations, selective filtering by criticism, evidence, and environmental constraints, and retention of “fit” candidates. Inquiry progresses less by direct access to foundations than by iterated selection among competing hypotheses or strategies.",
,,Historical Epistemology,,,,,
,,Naturalized Epistemology,,,,,
,Epistemic Normativity,,,,,"Studies the “oughts” and “maybes” governing belief, credence, inquiry, and assertion—i.e., what it is rationally required, permitted, or forbidden to think given one’s evidence and cognitive aims. It asks what grounds these epistemic standards (truth, knowledge, understanding, accuracy, or intellectual virtue) and how they relate to practical and moral reasons","Study of the normative status of beliefs, questioning what makes a belief ""right,"" ""rational,"" or ""justified."" It examines the rules and obligations—such as the duty to believe the truth—that govern our intellectual lives."
,,Doxastic Voluntarism,,,,"We have voluntary control over at least some of our beliefs (or belief-like attitudes), either directly (at will) or indirectly (through managing evidence, attention, and inquiry). Control is a precondition for epistemic responsibility and blame.","Humans have voluntary control over their beliefs, akin to the control of their actions. Aks whether we can choose to believe a proposition at will or if belief is an involuntary response to evidence"
,,,Doxastic [Defined],,,"Pertaining to belief (from doxa, “opinion” or “belief”). In epistemology, a “doxastic attitude” is an attitude toward a proposition (i.e., believing it, disbelieving it, suspending judgment about it, or having a certain degree of confidence in it).",
,,Epistemic Norms,,,,"Standards that govern what it is rational or permissible to believe, how confident to be, and how to update or inquire given evidence (e.g., coherence, evidential fit, and good updating). They are “epistemic” insofar as they aim at truth, knowledge, understanding, or accuracy rather than merely practical success.","Standards that govern correct belief formation and maintenance. These norms dictate that beliefs should be formed based on sufficient evidence, truth, and logical consistency rather than wishful thinking or pragmatic utility."
,,Epistemic Permissivism,,,,"The same total body of evidence can make more than one doxastic attitude rationally permissible (e.g., two people with the same evidence may each be justified in adopting different credences, or in believing versus suspending judgment). In contrast, the ""Uniqueness Thesis"" holds: evidence always necessitates one specific rational response.","A single body of total evidence can rationally support more than one unique doxastic attitude toward a proposition. This stands in contrast to the ""Uniqueness Thesis,"" which argues that evidence always necessitates one specific rational response."
,,Epistemic Responsibility,,,,"Managing beliefs and inquiries Responsibly in ways that meet reasonable standards of intellectual care (i.e., seeking and weighing evidence, updating when warranted, checking bias, and deferring to expertise when appropriate). Epistemic Irresponsibility: avoidable cognitive failures (i.e., negligent inquiry, willful ignorance, careless acceptance of testimony, or motivated resistance to counterevidence).","Obligation to exercise proper care, diligence, and scrutiny in their inquiry and belief-forming practices. Agents are accountable for their beliefs and can be praised or blamed based on their intellectual conduct."
,,Epistemic Value,,,,"The set of goods that make epistemic states, practices, or methods worth having, such as truth, knowledge, understanding, explanatory power, and accuracy (aka. “epistemic utility”). Debates focus on which values are fundamental and how they justify epistemic norms.","What makes certain cognitive states (i.e., knowledge or understanding) good or desirable. It addresses the ""value problem,"" asking why knowledge is more valuable than mere true belief, and distinguishes between instrumental value (usefulness) and final value (good in itself)."
,,Epistemic Virtues,,,,"Excellent cognitive or intellectual character that tend to produce epistemic goods—either as reliable competences (e.g., perceptual acuity, good inference) or as responsible traits (e.g., open-mindedness, conscientiousness, intellectual humility). Virtue epistemology shifts the focus of analysis from the properties of individual beliefs to the qualities of the agent forming them.","Excellent intellectual character traits (open-mindedness, intellectual humility, conscientiousness) that help agents reliably reach the truth. Virtue epistemology shifts the focus of analysis from the properties of individual beliefs to the qualities of the agent forming them."
,,Theoretical Virtues *,,,,,"Non-empirical criteria used to evaluate and select competing scientific or philosophical theories. Key Virtues: simplicity (parsimony), explanatory power, internal consistency / coherence, and fertility / fruitfulness (able to generate new predictions). These virtues guide theory choice when data underdetermine which theory to accept."
,,"Ethics of Belief (""Epistemic ethics"")",,,,"When it is permissible, obligatory, or wrong to form, hold, or express beliefs, especially in relation to evidence and inquiry duties. Classic disputes contrast strict evidence-first (W.K. Clifford) positions [evidentialism] with views allowing belief beyond evidence (William James) in certain practical or existential contexts [pragmatist].","Examines the moral obligations surrounding belief formation. Classicaly, it involves the debate of W.K. Clifford’s evidentialism (it is wrong to believe on insufficient evidence) and William James’s pragmatist defense of the right to believe in certain contexts."
,,Norms of Assertion *,,,,"Principles stating when a speaker is entitled to assert a proposition (e.g., only if one knows it, only if one is justified, or only if it is true and properly grounded). These norms connect epistemic status to the social act of putting information into circulation for others to rely on.","Rules governing the speech act of assertion, defining what condition one must meet to properly assert a proposition p. The dominant view is the Knowledge Norm of Assertion, which states that one must know p in order to legitimately assert it."
,,Epistemic Deontologism,,,,Epistemic deontologism: a normative theory of what it is for belief to be justified or permissible.,
,Formal Epistemology,,,,,,
,,Belief Revision,,,,,
,,,Nonmonotonic Logic *,,,,
,,,AGM Belief Revision Theory,,,,
,,,Ranking Functions,,,,
,,Causal Reasoning,,,,,
,,,Causal Modeling,,,,
,,,Scientific Method *,,,,
,,Epistemic Logic *,,,,,
,,Formal Social Epistemology,,,,,
,,,Common Knowledge,,,,
,,,Judgment Aggregation *,,,,
,,,Epistemology of Disagreement *,,,,
,,Formal Epistemology Misc,,,,,
,,Probabilistic Reasoning *,,,,,
,Knowledge,,,,,,
,,Defining Knowledge,,,,,
,,,Knowledge as a Natural Kind,,,,
,,,Primitivism about Knowledge *,,,,
,,,The Concept of Knowledge,,,,
,,,The Gettier Problem,,,,
,,Varieties of Knowledge,,,,,
,,,Knowledge by Acquaintance,,,,
,,,Knowledge How,,,,
,,,"Knowledge-Wh (when, who, why, where)",,,,
,,Theories of Knowledge,,,,,
,,,Epistemic Contextualism *,,,,
,,,Causal Theory of Knowledge,,,,
,,,Defeasibility Theory of Knowledge,,,,
,,,Epistemic Relativism *,,,,
,,,Knowledge as a Natural Kind *,,,,
,,,Primitivism about Knowledge,,,,
,,,Reliabilism about Knowledge *,,,,
,,Principles of Knowledge,,,,,
,,,Closure of Knowledge,,,,
,,,Infallibility,,,,
,,,Knowability,,,,
,,,The KK Principle,,,,
,,,Luminosity,,,,
,,,Safety and Sensitivity,,,,
,,The Problem of Easy Knowledge,,,,,
,Skepticism,,,,,,
,,Varieties of Skepticism,,,,,
,,,Simulation Hypothesis *,,,,
,,,Brains in Vats,,,,
,,,Cartesian Skepticism,,,,
,,,Dreams and Skepticism,,,,
,,,Inductive Skepticism *,,,,
,,,Metaphilosophical Skepticism *,,,,
,,,Modal Skepticism *,,,,
,,,Moral Skepticism *,,,,
,,,Perception and Skepticism *,,,,
,,,Pyrrhonian Skepticism,,,,
,,,Religious Skepticism *,,,,
,,Replies to Skepticism,,,,,
,,,Contextualist Replies to Skepticism *,,,,
,,,Abductive Replies to Skepticism,,,,
,,,Dogmatist and Moorean Replies to Skepticism *,,,,
,,,Content Externalist Replies to Skepticism,,,,
,,,Fallibilist Replies to Skepticism,,,,
,,,Relevant Alternative Replies to Skepticism,,,,
,,,Transcendental Replies to Skepticism,,,,
,,,Pragmatic Replies to Skepticism,,,,
,,,Ordinary Language Replies to Skepticism,,,,
,Social Epistemology,,,,,,
,,Testimony,,,,,
,,,Epistemology of Testimony,,,,
,,,The Nature of Testimony,,,,
,,,Epistemic Deference,,,,
,,,Testimonial Injustice *,,,,
,,Disagreement,,,,,
,,,Disagreement in Philosophy *,,,,
,,,Deep Disagreement,,,,
,,,Ontological Disagreement *,,,,
,,,Peer Disagreement,,,,
,,,Political DIsagreement,,,,
,,,Moral Disagreement *,,,,
,,,Verbal Disputes,,,,
,,,Epistemic Permissivism *,,,,
,,,Epistemology of Disagreement,,,,
,,,Belief Polarization,,,,
,,,Bespoke Realities,,,"Socially and informationally insulated “local worlds” in which groups stabilize their own standards of credibility, evidence, and salience, producing divergent pictures of what is real. The concept is used to explain belief polarization and persistent disagreement by highlighting how trust networks, media environments, and identity-driven interpretation shape what counts as a fact.","The structural endpoint of polarization, where groups drift so far apart that they no longer share a common set of facts or ""hinge propositions"" (Deep Disagreement)"
,,Collective Epistemology,,,,,
,,,Collective Belief *,,,,
,,,Collective Intentionality *,,,"Form of shared intentionality—joint beliefs, intentions, or plans—that enables coordinated action and the emergence of groups and institutions with irreducible social properties.","The philosophical study of shared mental states, such as joint intentions, shared beliefs, and collective emotions, which are considered foundational to social groups and institutions."
,,,Judgment Aggregation *,,,,
,,,Social Choice Theory *,,,,
,,Epistemic Injustice,,,,,
,,,Testimonial Injustice,,,,
,,,Hermeneutical Injustice,,,,
,,Political Epistemology *,,,,,
,,Standpoint Epistemology,,,,,
,,Trust *,,,,,
,,,Argument *,,,,
,,,Conspiracy Theories,,,,
,,,Epistemic Relativism *,,,,
,,,Extended Epistemology *,,,,
,,,Fake News *,,,,
,,,Feminist Epistemology *,,,,
,,,Formal Social Epistemology *,,,,
,,,Sociology of Knowledge,,,,
,,,Sociology of Science *,,,,
Metaphysics,,,,,,"Systematic inquiry into the most general features of reality—what there is and how it is structured—including categories (substance, property, event), dependence relations, modality, causation, space–time, and laws of nature.","The branch of philosophy that studies the fundamental nature of reality, including the first principles of being, identity and change, space and time, causality, necessity, and possibility."
,Causation,,,,,,
,,Theories of Causation,,,,"Competing analyses of causation—counterfactual dependence, processes, mechanisms, probabilistic and productive relations—and their implications for agency and explanation.",The philosophical investigation into the fundamental nature of the causal relation itself.
,,,Causal Eliminativism,,,,
,,,Causal Realism,,,,
,,,Causal Reductionism,,,,
,,,Counterfactual Theories of Causation,,,"Analyzes causation via counterfactuals: c causes e if, had c not occurred, e would not have occurred (under suitable background conditions), with refinements for preemption and overdetermination.","Theories that analyze causation in terms of counterfactual conditionals: ""event C caused event E"" is analyzed as ""if C had not occurred, E would not have occurred."""
,,,Manipulability Theories of Causation,,,Interventionist or manipulability accounts linking causation to what would happen under ideal interventions; useful for scientific explanation and causal discovery.,Theories that analyze causation in terms of manipulation or intervention: C causes E if manipulating C is a way of bringing about a change in E.
,,,Nomological Theories of Causation,,,,
