1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini,6.2 Description SEP,6.3 Description SEP,SEP Entry ID,SEP Title,SEP URL,SEP Match Method,SEP Fuzzy Score
,,,The Nature of Intuition,,,"Analyses of what intuitions are-appearances, judgments, dispositions, or seemings-how they relate to concepts, and whether their content is conceptual, perceptual-like, or modal.","The philosophical inquiry into what intuitions are, their cognitive origins, and their characteristics as mental states, distinct from perception, belief, and reasoning.",,,,,,,
,,Reasoning,,,,"Cognitive process of forming conclusions, judgments, or inferences from facts or premises. Includes deductive, inductive, and abductive forms and psychological mechanisms that implement them.","The cognitive process of forming conclusions, judgments, or inferences from facts or premises.",,,,,,,
,,,Abductive Reasoning,,,"""Inference to the best explanation"". Selecting hypotheses that would make observed data most intelligible. (A form of logical inference that starts with an observation or set of observations and then seeks the simplest and most likely explanation or hypothesis.). Evaluated by explanatory virtues such as simplicity, coherence, and unifying power.","A form of logical inference that starts with an observation or set of observations and then seeks the simplest and most likely explanation or hypothesis. It is often called ""inference to the best explanation.""",,,,,,,
,,,Argument,,,"A connected set of premises offered in support of a conclusion; assessed for validity or strength, soundness, relevance, and dialectical appropriateness.","A set of reasons or premises offered in support of a conclusion, intended to persuade others that the conclusion is true.",,"Arguments are central to philosophy and pervasive in science, law, education, and politics. An argument is typically a set of propositions where some (premises) provide support for another (conclusion). The study of argumentation is interdisciplinary, examining logical structure, rhetorical effectiveness, and the norms governing rational persuasion.",,,,,
,,,Critical Reasoning,,,"The disciplined practice of analyzing and appraising arguments and evidence, clarifying concepts, identifying assumptions, and detecting fallacies to improve belief-formation.","The objective analysis and evaluation of an issue in order to form a judgment. It involves interpreting, analyzing, and evaluating information to construct a well-supported argument.",,,,,,,
,,,Deductive Reasoning,,,"Inference where, if the premises are true, the conclusion must be true; central notions include validity, proof, and logical consequence.","A form of reasoning in which a conclusion follows logically and necessarily from a set of premises. If the premises are true, the conclusion must also be true.",,,,,,,
,,,Fallacies,,,"Patterns of reasoning that are defective or unreliable in ways that undermine an argument’s rational support for its conclusion, even if the conclusion happens to be true.",Errors in reasoning that undermine the logic of an argument. They can be formal (related to the structure of the argument) or informal (related to the content).,"Two competing conceptions of fallacies are that they are false but popular beliefs and that they are deceptively bad arguments. These we may distinguish as the belief and argument conceptions of fallacies. Academic writers who have given the most attention to the subject of fallacies insist on, or at least prefer, the argument conception of fallacies, but the belief conception is prevalent in popular and non-scholarly discourse. As we shall see, there are yet other conceptions of what fallacies are, but the present inquiry focuses on the argument conception of fallacies. Being able to detect and avoid fallacies has been viewed as a supplement to criteria of good reasoning. The knowledge of fallacies is needed to arm us against the most enticing missteps we might take with arguments-so thought not only Aristotle but also the early nineteenth century logicians Richard Whately and John Stuart Mill. But as the course of logical theory from the late nineteenth-century forward turned more and more to axiomatic systems and formal languages, the study of reasoning and natural language argumentation received much less attention, and hence developments in the study of fallacies almost came to a standstill. Until well past the middle of the twentieth century, discussions of fallacies were for the most part relegated to introductory level textbooks. It was only when philosophers realized the ill fit between formal logic, on the one hand, and natural language reasoning and argumentation, on the other, that the interest in fallacies has returned. Since the 1970s the utility of knowing about fallacies has been acknowledged (Johnson and Blair 1993), and the way in which fallacies are incorporated into theories of argumentation has been taken as a sign of a theory's level of adequacy (Biro and Siegel 2007, van Eemeren 2010). In modern fallacy studies it is common to distinguish formal and informal fallacies. Formal fallacies are those readily seen to be instances of identifiable invalid logical forms such as undistributed middle and denying the antecedent. Although many of the informal fallacies are also invalid arguments, it is generally thought to be more profitable, from the points of view of both recognition and understanding, to bring their weaknesses to light through analyses that do not involve appeal to formal languages. For this reason it has become the practice to eschew the symbolic language of formal logic in the analysis of these fallacies; hence the term 'informal fallacy' has gained wide currency. In the following essay, which is in four parts, it is what is considered the informal-fallacy literature that will be reviewed. Part 1 is an introduction to the core fallacies as brought to us by the tradition of the textbooks. Part 2 reviews the history of the development of the conceptions of fallacies as it is found from Aristotle to Copi. Part 3 surveys some of the most recent innovative research on fallacies, and Part 4 considers some of the current research topics in fallacy theory.","Errors in reasoning or argumentation. The argument conception treats fallacies as deceptively bad arguments appearing valid; the belief conception treats them as false but popular beliefs. Common fallacies include ad hominem, straw man, appeal to authority, and hasty generalization, raising questions about argumentation norms and critical thinking.",/entries/fallacies/,Fallacies,https://plato.stanford.edu/archives/win2021/entries/fallacies/,title_exact_strict,
,,,,Appeal to Emotion (argumentum ad passiones),,"A fallacy in which an argument substitutes eliciting emotions (fear, pity, anger, pride, disgust) for providing relevant reasons or evidence for a conclusion. Emotional considerations can be relevant in practical or moral reasoning, but the fallacy arises when emotion is used as a stand-in for warranted support.",,,,,,,,
,,,Inference,,,The transition from one or more propositions to another under rules or norms; includes deductive entailment and non-deductive support such as induction and abduction.,The process of drawing conclusions or making judgments based on evidence and reasoning.,,,,,,,
,,Testimony,,,,"Acquiring belief from others' assertions; raises questions about the division of epistemic labor, trust, social norms of assertion, and the conditions for testimonial knowledge.","The words, gestures, or utterances from others that convey beliefs and information. In epistemology, it is a major source of knowledge about the world.",,,,,,,
,,,Epistemology of Testimony,,,"Debates whether testimonial justification depends on independent evidence of reliability (reductionism) or can be basic given normal conditions (anti-reductionism), and how testimony transmits knowledge.",The philosophical study of how beliefs formed on the basis of testimony are justified and can count as knowledge. It examines the conditions under which we can trust what others tell us.,,,,,,,
,,,The Nature of Testimony,,,"Accounts of what counts as testimony-telling, asserting, or communicating with an audience-its constitutive norms (sincerity, competence), and the hearer's responsibilities.","The inquiry into the fundamental characteristics of testimony as a source of information, including its dependence on the speaker's knowledge and sincerity.",,,,,,,
,Epistemological States and Properties,,,,,"The specific statuses and conditions that tell you how a belief stands epistemically; whether it is knowledge or mere opinion, justified or unsupported, rational or irrational, warranted or defeated, and whether its truth is an achievement or just luck. They are the evaluative categories used to assess beliefs and inquiry: knowledge, justification, evidence, rationality, warrant, understanding, and wisdom, along with what counts as rational belief and responsible inquiry. They explain why some beliefs amount to genuine epistemic achievement (e.g., knowledge) while others are mere true belief, guesswork, or luck.  They are the diagnostic categories epistemologists use to explain why two people can share the same true belief while only one of them genuinely knows it","The category of concepts that describe the cognitive and normative properties of a person's beliefs, such as whether a belief is justified, warranted, or constitutes knowledge.",,,,,,,
,,Basing,,,,"The relation between a belief and the consideration(s) that actually cause or sustain it in the believer; what the believer is relying on, as opposed to what they merely have available. A belief is properly based when the belief is formed and maintained because of the relevant evidence or reasons, not due to luck, habit, wishful thinking, or a different (poor) reason.",The relationship between a belief and the grounds (reasons or evidence) that support it. A belief is properly based on evidence if the evidence is the reason the belief is held.,,,,,,,
,,Bias,,,,"Systematic distortion in how one searches for, interprets, or weighs evidence, often pushing belief away from what the evidence supports. It can create unwarranted confidence and resist correction even when counterevidence is available.",,,,,,,,
,,Defeat,,,,Information that removes or weakens a belief’s justification. A defeater either supports the opposite conclusion (rebutting defeat) or undermines the connection between your evidence and the conclusion (undercutting defeat).,"The loss of justification for a belief. A ""defeater"" is a new piece of evidence or a new belief that undermines or overrides one's justification for another belief.",,,,,,,
,,Entitlement,,,,"A non-evidential epistemic right or permission to accept certain fundamental commitments or sources (i.e., hinges, perception, memory, and often testimony) given our epistemic position, so long as no specific defeaters are present. It is invoked to explain how ordinary knowledge and rational belief can be possible without requiring an evidential proof of the reliability of these basic practices in every case.","A form of epistemic justification or warrant that does not require the believer to have conscious access to the reasons supporting their belief. It is a right to believe, often default and unearned.",,,,,,,
,,Epistemic Possibility,,,,,Statements about what might be the case given a specific body of information or evidence. A proposition is considered epistemically possible if it is not ruled out by what is currently known or assumed.,,,,,,,
,,Epistemic Luck,,,,,"Situations arise where a subject forms a true belief in an accidental or coincidental manner, such as through a guess. Since knowledge requires a robust, non-accidental connection to truth, the presence of this fortuity typically prevents a true belief from qualifying as knowledge.",,,,,,,
,,Evidence,,,,"What supports propositions-ranging from experiences, memories, and data to knowledge itself-subject to debates about its nature (propositional vs non-propositional) and possession.",The information or reasons that support a belief or proposition. It is a central concept in determining whether a belief is justified or rational.,"For my own part, I think that if one were looking for a single phrase to capture the stage to which philosophy has progressed, 'the study of evidence' would be a better choice than 'the study of language'. -A.J. Ayer, Philosophy in the Twentieth Century And when we try to define 'evidence' . we find it very difficult. -R.G. Collingwood, The Idea of History The concept of evidence is central to both epistemology and the philosophy of science. Of course, 'evidence' is hardly a philosopher's term of art: it is not only, or even primarily, philosophers who routinely speak of evidence, but also lawyers and judges, historians and scientists, investigative journalists and reporters, as well as the members of numerous other professions and ordinary folk in the course of everyday life. The concept of evidence would thus seem to be on firmer pre-theoretical ground than various other concepts which enjoy similarly central standing within philosophy. (Contrast, for example, the epistemologist's quasi-technical term 'epistemic justification'.) When one compares philosophical accounts of evidence with the way the concept is often employed in non-philosophical contexts, however, a tension soon emerges. Consider first the kinds of things which non-philosophers are apt to count as evidence. For the forensics expert, evidence might consist of fingerprints on a gun, a bloodied knife, or a semen-stained dress: evidence is, paradigmatically, the kind of thing which one might place in a plastic bag and label 'Exhibit A'. Thus, a criminal defense attorney might float the hypothesis that the evidence which seems to incriminate his client was planted by a corrupt law enforcement official or hope for it to be misplaced by a careless clerk. For an archaeologist, evidence is the sort of thing which one might dig up from the ground and carefully send back to one's laboratory for further analysis. Similarly, for the historian, evidence might consist of hitherto overlooked documents recently discovered in an archive or in an individual's personal library.[1] Reflection on examples such as these naturally suggests that evidence consists paradigmatically of physical objects, or perhaps, physical objects arranged in certain ways. For presumably, physical objects are the sort of thing which one might place in a plastic bag, dig up from the ground, send to a laboratory, or discover among the belongings of an individual of historical interest. However natural such a picture might be, it is at least somewhat difficult to reconcile with historically prominent philosophical accounts of the nature of evidence. Russell, the greatest empiricist of the first half of the twentieth century, tended to think of evidence as sense data, mental items of one's present consciousness with which one is immediately acquainted. In this, he stood squarely within the tradition of classical empiricism. Quine, the greatest empiricist of the second half of the century, maintained throughout his career that evidence consisted of the stimulation of one's sensory receptors.[2] The logical positivists held that whatever evidence there is for a given scientific theory is afforded by observation statements or 'protocol sentence', linguistic entities with suitably-restricted contents; the precise nature of the restrictions became a vigorously contested matter within the tradition itself.[3] According to one recent and influential study, one's evidence consists of the totality of propositions that one knows (Williamson 2000). According to another, one's evidence consists exclusively of one's current mental states (Conee and Feldman 2004). Within contemporary confirmation theory, a prominent version of Bayesianism is naturally understood as identifying one's evidence with those beliefs of which one is psychologically certain. Of course, the suggestion that one might place sense data, sensory receptor stimulations, known propositions, or one's current mental states in a plastic bag (or dig them up from the ground, or send them to a laboratory, or .) is of dubious intelligibility. From the perspective of much ordinary thought and talk about evidence, much philosophical theorizing about evidence would seem to embody a particularly grotesque category mistake. Moreover, it is not simply that the accounts of evidence that have been advanced by philosophers stand in at least some prima facie tension with much that is said and thought about evidence outside of philosophy. As even the cursory survey offered above makes clear, philosophers themselves have offered quite divergent theories of what sorts of things are eligible to serve as evidence. What might account for such discrepancies? One possibility is the following. Both in and outside of philosophy, the concept of evidence has often been called upon to fill a number of distinct roles. Although some of these roles are complementary, others stand in at least some measure of tension with one another. Indeed, as we will see below, it is far from obvious that any one thing could play all of the diverse roles that evidence has at various times been expected to play. Different theories about the nature of evidence might thus naturally emerge from different emphases on the competing demands that have been placed on the concept. In what follows, I survey some of the theoretical roles that the concept of evidence has been asked to play and explore some of the relations among them.","What justifies beliefs or supports hypotheses. Epistemological debates concern evidence's nature (mental states, propositions, or facts), whether evidence must be possessed or can be merely available, and relationships between evidence and justification. Bayesian approaches treat evidence as affecting probabilities; others emphasize evidential support relations.",/entries/evidence/,Evidence,https://plato.stanford.edu/archives/win2021/entries/evidence/,title_exact_strict,
,,,Evidence and Knowledge,,,"Explores whether knowledge is distinct from, grounded in, or identical to evidence (e.g., E=K), and how knowledge can serve as a normative basis for further belief.","The relationship between having evidence for a proposition and having knowledge of that proposition. Traditionally, knowledge is considered to be, at minimum, a justified (evidence-based) true belief.",,,,,,,
,,Ignorance,,,,"The absence or limitation of knowledge-individual or collective-including varieties such as simple lack, closed-mindedness, and structurally produced ignorance within social systems.","A state of lacking knowledge or information. Epistemologically, it is studied in relation to doubt, inquiry, and the limits of knowledge.",,,,,,,
,,Justification,,,,"The normative status that makes a belief epistemically appropriate, shaped by evidential support, reliability, coherence, and responsiveness to defeaters.","The property of a belief being well-founded, supported by good reasons or evidence. It is a central requirement for a belief to count as knowledge.",,,,,,,
,,,Epistemic Regress,,,"The problem of how reasons terminate without arbitrariness, motivating foundationalism, coherentism, infinitism, or hybrid accounts of structure.","The problem that arises when one attempts to justify every belief. If every belief must be justified by another belief, this seems to lead to an infinite chain of justifications with no ultimate foundation.",,,,,,,
,,,Coherentism *,,,,,,,,,,,
,,,Dogmatism *,,,,,,,,,,,
,,,Epistemic Internalism and Externalism *,,,,,,,,,,,
,,,Epistemic Regress,,,,,,,,,,,
,,,Evidentialism *,,,,A subject's belief enjoys positive status only if supported by the mental items or data currently in their possession. Two individuals with identical internal mental lives must therefore share the same degree of warrant for their views.,,,,,,,
,,,Foundationalism *,,,,"Cognitive structures ultimately rest on basic, self-evident beliefs that require no support from other propositions. These non-inferential starting points transfer positive status to derived views through logical connections.",,,,,,,
,,,Infinitism *,,,,"An unlimited, non-repeating series of reasons supports a view, rejecting both circular reasoning and finite stopping points. Warrant arises from the availability of an endless chain of support for any challenged claim.",,,,,,,
,,,Moral Justification *,,,,,,,,,,,
,,,Perceptual Justification *,,,,,,,,,,,
,,,Propositional and Doxastic Justification,,,,"Propositional justification concerns possessing adequate reasons for a view, regardless of whether the agent actually accepts the conclusion. Doxastic requires that the agent holds the view specifically because of those valid reasons, establishing a proper causal connection.",,,,,,,
,,,Reliabilism about Justification *,,,,,,,,,,,
,,Rationality,,,,"Conformity to norms governing belief and action-structural (coherence, consistency) and substantive (evidence-responsiveness, accuracy)-often linked to decision-theoretic ideals.","The quality of being based on or in accordance with reason or logic. In epistemology, it refers to holding beliefs that are coherent and well-supported by evidence.",,,,,,,
,,,Irrationality,,,"Failures to meet rational norms, including akrasia, wishful thinking, motivated reasoning, or incoherence, sometimes explicable by cognitive biases or conflicts of aims.","The state of holding beliefs that are contradictory, not based on evidence, or formed through faulty reasoning.",,,,,,,
,,,Rational Requirements,,,"Specific normative constraints on attitudes (e.g., means-ends coherence, closure under known implication, no contradictory beliefs) that guide rational deliberation.","The principles or norms that govern rational thought and belief. These are the rules one ought to follow to be considered rational (e.g., believing the logical consequences of one's beliefs).",,,,,,,
,,Reasons *,,,,,,,,,,,,
,,Understanding,,,,"A cognitive achievement involving grasp of explanatory, structural, or modal relations, often requiring more than true belief and allowing a degree of fallibility.","A cognitive state of grasping or comprehending a subject, which is often considered a deeper epistemic achievement than merely knowing facts about it.","Understanding is a protean concept in philosophy, and the desire for understanding is pervasive in everyday life. Scientists take it as their goal to understand the world and how it works, teachers and parents hope to transmit understanding to their students and children, and from a political and social point of view we often strive for mutual understanding. This entry will look at some ways in which understanding has been conceptualized by philosophers-especially epistemologists, philosophers of science, and philosophers of social science. The focus will be on accounts of understanding the natural world and other people, and it will only touch occasionally on accounts of what it takes to understand other items, such as concepts, languages, or texts.","Check knowledge? Seeing the whole, grasping connections/causes (explanatory understanding). Objectual understanding (understanding a subject matter). Is understanding transparent (can't be lucky)? Kvanvig: Understanding, not knowledge, is the goal of inquiry.",/entries/understanding/,Understanding,https://plato.stanford.edu/archives/win2021/entries/understanding/,title_exact_strict,
,,Warrant,,,,"That which, when added to true belief, yields knowledge; on proper-function accounts, arises when cognitive faculties operate as designed in suitable environments.","The property that, when added to true belief, is said to yield knowledge. What exactly constitutes warrant (e.g., justification, reliability) is a major topic of debate.",,,,,,,
,,Wisdom,,,,"Integrated excellence in judgment concerning ends and means, combining factual knowledge, practical insight, and normative discernment across domains.","A deep and fundamental understanding of existence, life, and oneself, which combines knowledge with sound judgment and the ability to apply it practically.","What is wisdom? Philosophers, psychologists, spiritual leaders, poets, novelists, life coaches, and a variety of other important thinkers have tried to understand the concept of wisdom. This entry will provide a brief and general overview, and analysis of, several philosophical views on the topic of wisdom. It is not intended to capture the many interesting and important approaches to wisdom found in other fields of inquiry. Moreover, this entry will focus on several major ideas in the Western philosophical tradition. In particular, it will focus on five general approaches to understanding what it takes to be wise: (1) wisdom as epistemic humility, (2) wisdom as epistemic accuracy, (3) wisdom as knowledge, (4) a hybrid theory of wisdom, and (5) wisdom as rationality.",Phronesis (Practical Wisdom) vs. Sophia (Theoretical Wisdom). Epistemic humility (Socrates). Knowledge of how to live well (Stoics). Nozick: Wisdom is understanding what matters. Is it a skill or a virtue?,/entries/wisdom/,Wisdom,https://plato.stanford.edu/archives/win2021/entries/wisdom/,title_exact_strict,
,Epistemological Theories,,,,,"Systematic accounts explaining knowledge and justification-foundational, coherentist, reliabilist, evidentialist, contextualist, virtue-theoretic, and hybrid approaches.","The broad category of philosophical theories that attempt to explain the nature of knowledge, justification, and other key epistemic concepts.",,,,,,,
,,Coherentism,,,,"Theory that justification derives from mutual support within a system of beliefs, emphasizing coherence, explanatory integration, and absence of internal conflict.","The theory that a belief is justified if it is part of a coherent system of beliefs. Justification is a function of how well a belief fits with other beliefs, rather than its grounding in a foundational base.",,,,,,,
,,,Epistemic Regress *,,,,,,,,,,,
,,Dogmatism,,,,"View that certain experiences-especially perceptual presentations-confer immediate prima facie justification without antecedent argument, defeasible by counterevidence.","An epistemological stance that asserts that some beliefs can be justified without being based on any evidence or reasons, particularly in the context of perception.",,,,,,,
,,,Dogmatism about Perception,,,"Application of dogmatism to sensory experience: if it visually seems that p, one thereby has prima facie justification to believe p, absent defeaters.","The specific application of dogmatism to perceptual beliefs, holding that if it seems to you that you see something, you are immediately justified in believing it is there, absent any defeaters.",,,,,,,
,,,Dogmatist and Moorean Replies to Skepticism,,,Anti-skeptical strategies appealing to ordinary knowledge or immediate perceptual justification to resist skeptical hypotheses and closure-based arguments.,"A response to skepticism that relies on either common-sense, dogmatic assertions (like G.E. Moore's ""Here is one hand"") or a dogmatist theory of perception to block skeptical arguments.",,,,,,,
,,Epistemic Constructivism,,,,"What counts as knowledge or justification is partly made/constructed by cognitive or social practices (concepts, inferential norms, methods, standards of evidence) rather than simply discovered. Treats standards of justification as fixed by the rules and methods of inquiry we adopt. Weaker versions: preserve mind-independent reality. Stronger versions: extend construction claims toward truth or reality itself.",,,,,,,,
,,Epistemic Contextualism,,,,"Semantics on which ""knows"" varies with conversational context (stakes, alternatives), reconciling everyday knowledge claims with stricter philosophical demands.","The view that the meaning of knowledge attributions (e.g., ""S knows that p"") depends on the context of the person making the attribution. The standards for what counts as knowledge can vary with conversational context.","Epistemic Contextualism (EC) is a recent and hotly debated position. EC is roughly the view that what is expressed by a knowledge attribution - a claim to the effect that S ""knows"" that p - depends partly on something in the context of the attributor, and hence the view is often called 'attributor contextualism'. Because such an utterance is context-dependent, so too is whether the attribution is true. The typical EC view identifies the pivotal contextual features as the attributor's practical stake in the truth of p, or the prominence in the attributor's situation of skeptical doubts about knowledge. The typical EC view has it that as the stakes rise or the skeptical doubts become more serious, the contextual standard gets more demanding. It requires S to be in a better position if the attributor's claim, ""S knows that p"", is to express a truth. In contrast, Invariantists about knowledge hold that such factors in the attributor's context do not affect the standards that must be met by a true ""knowledge"" attribution. In addition to marking an important departure from traditional epistemological assumptions, EC is claimed to provide a novel resolution to certain puzzles about knowledge-not least, skeptical ones-as well as to best comport with our everyday ""knowledge""-attributing practices. What follows describes the leading forms of EC, so understood, as well as the principal arguments for and major objections to EC. Along the way, EC is situated with respect to certain other views, both kindred and competing.",,/entries/contextualism-epistemology/,Epistemic Contextualism,https://plato.stanford.edu/archives/win2021/entries/contextualism-epistemology/,title_exact_strict,
,,,Contextualist Replies to Skepticism,,,"Explanations of how knowledge ascriptions can be true in low-stakes contexts yet falter under skeptical pressure, dissolving paradox without granting global ignorance.","A specific application of contextualism that aims to solve the problem of skepticism by arguing that in ordinary contexts, we can truthfully say we know many things, while in skeptical contexts, the standards for knowledge become too high to meet.",,,,,,,
,,,Epistemic Contextualism and Invariantism,,,"Comparison between context-sensitive accounts and invariantism, which holds fixed truth-conditions for ""knows"" across contexts, with debates over intuitions and linguistic data.","The debate between contextualism, which holds that knowledge standards vary with context, and invariantism, which holds that the standards for knowledge are fixed and do not change.",,,,,,,
,,,Epistemic Contextualism and Relativism,,,"Contrasts contextualism with relativism, where truth depends on parameters beyond context of utterance (e.g., assessor), assessing explanatory payoffs and costs.","The intersection between contextualism and relativism, exploring whether the context-sensitivity of knowledge claims implies that truth itself is relative to a particular framework or perspective.",,,,,,,
,,Epistemic Contrastivism,,,,"Treats knowledge as a three-place relation-knowing p rather than q-making ""contrast classes"" central to explanation, skepticism, and practical reasoning.","The theory that knowledge is a three-part relation between a subject, a proposition, and a contrasting proposition. To know that 'p' is to know that 'p' rather than 'q'.",,,,,,,
,,Epistemic Fallibilism,,,,"One can have knowledge or justified belief even though their evidence and reasoning do not guarantee truth and they could be mistaken. It rejects the idea that certainty or infallible justification is required for knowledge. Justification is sufficient when it is strong and appropriate, not when it is certainty-producing","View that absolute certainty is not a prerequisite for knowledge. It holds that an agent can possess knowledge of a proposition even if their justification does not logically guarantee its truth, meaning it is possible to know something yet still theoretically be mistaken.",,,,,,,
,,Epistemic Infallibilism,,,,"Knowledge requires error-excluding support: if you know, your grounds must guarantee truth (or otherwise rule out the relevant possibility of being mistaken).",Knowledge requires absolute certainty - the justification must be so strong that the possibility of error is logically excluded.,,,,,,,
,,Epistemic Internalism and Externalism,,,,"Dispute over whether justificatory factors must be cognitively accessible to the subject (internalism) or may include mind-external, truth-conducive conditions (externalism).","The debate concerning whether the justifying factors for a belief must be internal to the believer's mind (internalism) or can be external factors, such as the reliability of the belief-forming process (externalism).",,,,,,,
,,Epistemic Relativism,,,,"Holds that standards of truth or justification vary with frameworks or cultures. There are no absolute principles regarding normative belief, justification, or rationality, and that there are only relative ones.","Knowledge, truth, or justification are relative to the standards of a particular culture, society, or individual. There are no absolute, universal standards.",,,,,,,
,,,Epistemic Contextualism and Relativism *,,,"Truth, correctness, or appropriateness of key epistemic claims (esp. knowledge ascriptions like ""S knows that p"") depends in systematic ways on context or perspective. Contextualism typically ties this dependence to features of the attributor's conversational context (e.g., which error-possibilities are salient), while relativism treats epistemic evaluation as relative to a standpoint, assessor, or parameter that can vary across evaluators.",,,,,,,,
,,,Epistemic Subjectivism,,,"Epistemic status is fundamentally person-relative: what one is justified in believing (or what counts as ""rational"" or ""correct"" belief) is determined by the subject's own perspective, standards, or attitudes rather than by standpoint-independent epistemic norms. In contrast, objectivist views: treat evidence and rationality as binding in the same way across subjects.","The position that the validity of epistemic norms or justification depends entirely on the individual agent's perspective, mental states, or community conventions. It denies the existence of objective, universal epistemic facts, implying that what counts as ""rational"" can vary fundamentally from person to person without an external standard to adjudicate.",,,,,,,
